rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,concentric_duration,eccentric_duration,rom_deg,elbow_start_deg,elbow_peak_deg,elbow_end_deg,mean_vis_arm,concentric_velocity_mean_deg_s,eccentric_velocity_mean_deg_s,rep_velocity_rom_per_sec_deg_s,rep_velocity_path_deg_s,concentric_path_velocity_deg_s,eccentric_path_velocity_deg_s,concentric_speed_peak_deg_s,eccentric_speed_peak_deg_s,rep_speed_peak_deg_s,concentric_speed_mean_abs_deg_s,eccentric_speed_mean_abs_deg_s,rep_speed_mean_abs_deg_s,concentric_velocity_cv,rep_velocity_cv,concentric_accel_mean_abs_deg_s2,eccentric_accel_mean_abs_deg_s2,rep_accel_mean_abs_deg_s2,concentric_accel_peak_abs_deg_s2,eccentric_accel_peak_abs_deg_s2,rep_accel_peak_abs_deg_s2,velocity_reversal_count,movement_fragmentation_index,sticking_min_speed_deg_s,sticking_angle_deg,sticking_time_from_rep_start_sec,sticking_duration_sec,sticking_ratio_concentric,has_sticking_point,shoulder_path_length_norm,elbow_path_length_norm,wrist_path_length_norm,shoulder_displacement_norm,elbow_displacement_norm,wrist_displacement_norm,wrist_path_efficiency,rep_number_in_series,series_progress_norm,vbt_concentric_velocity_loss_from_first_pct,vbt_concentric_velocity_loss_from_previous_pct,vbt_concentric_velocity_loss_from_best_pct,vbt_concentric_velocity_slope_per_rep,vbt_rep_velocity_loss_from_first_pct,vbt_rep_velocity_loss_from_previous_pct,vbt_rep_velocity_loss_from_best_pct,vbt_rep_velocity_slope_per_rep,vbt_path_velocity_loss_from_first_pct,vbt_path_velocity_loss_from_previous_pct,vbt_path_velocity_loss_from_best_pct,vbt_path_velocity_slope_per_rep,rep_duration_increase_from_first_pct,rep_duration_increase_from_previous_pct,rep_duration_slope_per_rep,concentric_duration_increase_from_first_pct,concentric_duration_increase_from_previous_pct,concentric_duration_slope_per_rep,eccentric_duration_increase_from_first_pct,eccentric_duration_increase_from_previous_pct,eccentric_duration_slope_per_rep,rom_loss_from_first_pct,rom_loss_from_best_pct,rom_slope_deg_per_rep,elbow_start_extension_loss_from_first_deg,elbow_start_slope_deg_per_rep,elbow_peak_flexion_loss_from_first_deg,elbow_peak_slope_deg_per_rep
0,RIGHT,16,44,83,16,44,83,0.5333333333333333,1.4666666666666666,2.7666666666666666,2.2333333333333334,0.9333333333333332,1.3,125.4510130843141,157.90746777224763,32.45645468793353,139.7380045602508,0.9983426791195775,134.4117997331937,82.52426913255174,56.17209541088691,104.20861027908867,134.4117997331937,82.52426913255174,222.68578965070037,125.25822753225964,222.68578965070037,129.5262281147713,80.31907397197611,102.46931587758749,0.5531815917981944,0.5680011673524019,474.1773702639368,203.6343173372555,314.5984097396899,870.8296309985054,599.4236108768744,870.8296309985054,1,0.44776119402985076,194.98172123463883,119.21094022471834,0.33333333333333337,0.0,0.0,0,0.07499618468086615,0.13765660934219492,0.34527828109504627,0.0027947322902428192,0.013555688921363458,0.015780644105044296,0.04570413191063208,1,0.0,0.0,,0.0,-0.4925274466299475,0.0,,0.0,0.07581699592333775,0.0,,0.0,0.41055578359780276,0.0,,0.002656641604010119,0.0,,0.006441102756892344,0.0,,-0.003784461152882256,0.0,0.0,0.28359916239801813,0.0,0.4673168151506645,0.0,0.18371765275264548
1,RIGHT,83,110,146,83,110,146,2.7666666666666666,3.6666666666666665,4.866666666666666,2.0999999999999996,0.8999999999999999,1.1999999999999997,112.92329691478422,139.7380045602508,26.814707645466584,139.0430442857313,0.9982782114918033,125.47032990531581,93.52361386688729,53.772998530849634,107.21506359764236,125.47032990531581,93.52361386688729,203.52517719052503,150.07005312076194,203.52517719052503,120.85605534947834,91.19328350662605,105.41109254748034,0.5293084579886183,0.5139890284624161,442.13498736686813,272.1779028590869,340.3779700482684,693.5478494228203,666.1719689693414,693.5478494228203,1,0.4761904761904763,179.0359693298251,58.9422308021055,0.5666666666666664,0.0,0.0,0,0.05608608387349658,0.14466963608743044,0.3505670947304397,0.0050488558799477775,0.0063731842815708374,0.009447644368804657,0.02694960397258391,2,0.05263157894736842,6.652295293687099,6.652295293687099,6.652295293687099,-0.4925274466299475,4.270976296051776,4.270976296051776,4.270976296051776,0.07581699592333775,-2.885033502004325,-2.885033502004325,0.0,0.41055578359780276,-5.97014925105816,-5.97014925105816,0.002656641604010119,-3.5714285676020405,-3.5714285676020405,0.006441102756892344,-7.6923076863905555,-7.6923076863905555,-0.003784461152882256,9.986141890309243,9.986141890309243,0.28359916239801813,18.169463211996828,0.4673168151506645,-5.641747042466946,0.18371765275264548
2,RIGHT,146,172,206,146,172,206,4.866666666666666,5.733333333333333,6.866666666666666,2.0,0.8666666666666671,1.1333333333333329,114.70226405189251,139.0430442857313,24.34078023383879,136.52501944940633,0.9984345530551639,132.34876621372206,98.98609342550081,57.35113202594626,113.44325163373003,132.34876621372206,98.98609342550081,224.87620264356246,163.7647231582938,224.87620264356246,127.16083925954335,96.39963378030583,111.50846931416575,0.5805003129946761,0.5619831581152926,516.502740009609,306.93236162448784,394.65855229932714,785.7537002869155,696.606412894009,785.7537002869155,2,1.0,191.4872101392691,58.74918560125844,0.5333333333333341,0.0,0.0,0,0.05714422840084784,0.1445651574341551,0.3458025020010631,0.007721201848622663,0.013188984647407134,0.011850316812694533,0.03426903143881273,3,0.10526315789473684,1.5348604241230315,-5.482121800063913,1.5348604241230315,-0.4925274466299475,-2.098972107794723,-6.654145375540667,0.0,0.07581699592333775,-8.861687465000033,-5.809060618014257,0.0,0.41055578359780276,-10.44776118935175,-4.761904759637172,0.002656641604010119,-7.1428571352040215,-3.7037036995884156,0.006441102756892344,-12.820512810650927,-5.555555550925944,-0.003784461152882256,8.568084679485052,8.568084679485052,0.28359916239801813,18.86442348651633,0.4673168151506645,-8.11567445409474,0.18371765275264548
3,RIGHT,206,232,265,206,232,265,6.866666666666666,7.733333333333333,8.833333333333334,1.9666666666666677,0.8666666666666671,1.1000000000000005,110.79773243110053,136.52501944940633,25.727287018305802,136.15634052447135,0.9985032071669896,127.84353742050054,100.39004864196863,56.3378300497121,112.48819623928777,127.84353742050054,100.39004864196863,228.20713720228696,156.64526763194658,228.20713720228696,123.22006516992012,97.55748172228232,110.63578945908124,0.6062699750317692,0.562111839012868,524.1714160628372,295.08836624585655,394.2544755672294,789.3599698194726,579.2263166011824,789.3599698194726,2,1.0169491525423724,181.36434061027398,55.369659960128395,0.5333333333333341,0.0,0.0,0,0.0665805775483069,0.13134209990332113,0.3449019621541716,0.025175057558108956,0.023344749168891614,0.01818354807638806,0.05272091803368747,4,0.15789473684210525,4.886670906633379,3.404058021902717,4.886670906633379,-0.4925274466299475,-0.29504799066142773,1.7668386663371467,1.7668386663371467,0.07581699592333775,-7.945203316641,0.8418794248928859,0.8418794248928859,0.41055578359780276,-11.94029850211624,-1.666666665833283,0.002656641604010119,-7.1428571352040215,0.0,0.006441102756892344,-15.384615372781028,-2.941176467992992,-0.003784461152882256,11.680480127528723,11.680480127528723,0.28359916239801813,21.3824483228413,0.4673168151506645,-6.729167669627728,0.18371765275264548
4,RIGHT,265,291,322,265,291,322,8.833333333333334,9.7,10.733333333333333,1.8999999999999986,0.8666666666666654,1.0333333333333332,115.96429648851719,136.15634052447135,20.192044035954154,133.9350261144887,0.9984778778991481,133.8049574867508,110.07385362438828,61.033840257114356,120.89856766686943,133.8049574867508,110.07385362438828,232.6597064168625,181.7265454860012,232.6597064168625,128.7975960238498,106.40895368161137,118.60659578751368,0.6096649855425196,0.5747121813080912,531.690568611611,360.44571927091886,435.3721868953934,902.8103596010903,731.9832608423842,902.8103596010903,1,0.5263157894736846,201.84858509121386,52.3579999884106,0.5333333333333332,0.0,0.0,0,0.06078500122298338,0.11842466587005707,0.35808082287248155,0.006447768852077343,0.009184547460044485,0.009197031354933476,0.025684233188351138,5,0.21052631578947367,0.4514798906368125,-4.66305938218483,0.4514798906368125,-0.4925274466299475,-8.655088991390238,-8.335447430572268,0.0,0.07581699592333775,-16.015910146889016,-7.476670182901793,0.0,0.41055578359780276,-14.92537312764542,-3.389830506751055,0.002656641604010119,-7.142857135204212,-2.0496425046353158e-13,0.006441102756892344,-20.51282049704143,-6.060606055096474,-0.003784461152882256,7.562088469819991,7.562088469819991,0.28359916239801813,21.75112724777628,0.4673168151506645,-12.264410651979375,0.18371765275264548
5,RIGHT,322,347,377,322,347,377,10.733333333333333,11.566666666666666,12.566666666666666,1.833333333333334,0.8333333333333339,1.0,108.35781121496144,133.9350261144887,25.57721489952725,133.29012299808474,0.998459476800192,130.02937345795365,107.71290809855749,59.104260662706224,117.85675598919212,130.02937345795365,107.71290809855749,225.81402078319866,169.22044998356614,225.81402078319866,124.8201934553062,103.9778677918025,115.49469848629575,0.6101353316223211,0.551692795418029,544.3592770836063,341.54075484458394,429.6278275799342,885.2774465422158,681.9462598795487,885.2774465422158,1,0.5454545454545453,188.56879348969198,53.83932319371923,0.533333333333335,0.0,0.0,0,0.0649858991443861,0.08871363595662772,0.34453099983259317,0.010129168052315791,0.010687876900241823,0.0079408009615175,0.02304814651040376,6,0.2631578947368421,3.2604475826575685,2.8217071322957357,3.2604475826575685,-0.4925274466299475,-5.219967726535658,3.1614913730610246,3.1614913730610246,0.07581699592333775,-13.09694628248125,2.5160030729509693,2.5160030729509693,0.41055578359780276,-17.910447753174402,-3.508771927977736,0.002656641604010119,-10.71428570280605,-3.846153841715764,0.006441102756892344,-23.0769230591716,-3.225806448491144,-0.003784461152882256,13.625399627285805,13.625399627285805,0.28359916239801813,23.972441657758935,0.4673168151506645,-6.879239788406281,0.18371765275264548
6,RIGHT,377,402,435,377,402,435,12.566666666666666,13.4,14.5,1.9333333333333336,0.8333333333333339,1.0999999999999996,110.17416908631094,133.29012299808474,23.115953911773797,144.37081387968522,0.9984217666636753,132.20900290357304,110.2316908799195,56.98663918257462,119.70467020045983,132.20900290357304,110.2316908799195,222.47910817597676,174.89565002563438,222.47910817597676,127.24464949821163,107.39233767715741,117.81288048822042,0.582017293211343,0.5239201765031871,536.9469694157224,352.2494436486511,426.66499601743925,829.6155116749962,892.2561880664271,892.2561880664271,3,1.5517241379310343,192.4470064299568,54.11959968311766,0.5333333333333332,0.0,0.0,0,0.05808521703013949,0.1212243372703614,0.35844431598870674,0.015391058259295185,0.002175281630533173,0.009391094302763033,0.026199590518988482,7,0.3157894736842105,1.6388418531533777,-1.6762592848356888,1.6388418531533777,-0.4925274466299475,-1.4500861427991867,3.5828575746519027,6.631077214581245,0.07581699592333775,-14.870229897242968,-1.567932356310136,0.9875199429073889,0.41055578359780276,-13.43283581488081,5.454545451570227,0.002656641604010119,-10.71428570280605,0.0,0.006441102756892344,-15.384615372781093,9.999999989999964,-0.003784461152882256,12.177537368800682,12.177537368800682,0.28359916239801813,24.617344774162888,0.4673168151506645,-9.340500776159733,0.18371765275264548
7,RIGHT,435,459,491,435,459,491,14.5,15.3,16.366666666666667,1.8666666666666671,0.8000000000000007,1.0666666666666664,116.31854267842039,144.37081387968522,28.052271201264826,140.10945127573305,0.998364678600378,145.39817834802534,105.05360631981398,62.313505006296616,122.34413718904743,145.39817834802534,105.05360631981398,247.57953666910544,167.689561391413,247.57953666910544,139.2925312255079,101.72621378364747,119.91758382544205,0.5597690117082373,0.538728219614978,605.9181709934763,333.28534832154776,446.1606823672301,902.8751503710125,765.5039274684063,902.8751503710125,1,0.5357142857142856,192.66930626470935,58.19116179532977,0.5,0.0,0.0,0,0.049867832090826396,0.13543327548981873,0.33809036641918677,0.0016672986249173128,0.004579359051237721,0.002611976126180383,0.007725674510766399,8,0.3684210526315789,-8.173671237612895,-9.976004019916935,0.0,-0.4925274466299475,-10.933203667011655,-9.347569711142695,0.0,0.07581699592333775,-17.40309832480699,-2.2049824657178756,0.0,0.41055578359780276,-16.417910440409873,-3.448275860285362,0.002656641604010119,-14.285714270408079,-3.9999999951999827,0.006441102756892344,-17.94871793491126,-3.0303030275481992,-0.003784461152882256,7.2797103676501145,7.2797103676501145,0.28359916239801813,13.536653892562413,0.4673168151506645,-4.404183486668703,0.18371765275264548
8,RIGHT,491,515,547,491,515,547,16.366666666666667,17.166666666666668,18.23333333333333,1.8666666666666636,0.8000000000000007,1.0666666666666629,112.99722845031681,140.10945127573305,27.112222825416243,137.1466416917848,0.9985219526012041,141.2465355628959,103.15726768722088,60.534229526955535,119.48123963393877,141.2465355628959,103.15726768722088,227.8607814629454,177.14635405089427,227.8607814629454,135.31987471701515,100.32985649427263,117.21155252584862,0.5408780588509393,0.5511063915329009,556.1094135999248,356.32082808733276,437.74492062821014,829.8098104997641,709.8621910721248,829.8098104997641,1,0.5357142857142866,200.19019169293676,60.2976869764565,0.5,0.0,0.0,0,0.056461626491954436,0.10826066760914123,0.3357002779304742,0.010435478034097381,0.017914491942670255,0.022029611248620993,0.0656228567471829,9,0.42105263157894735,-5.084922486878564,2.855360935240541,2.855360935240541,-0.4925274466299475,-7.765660305322218,2.8553609352141818,2.8553609352141818,0.07581699592333775,-14.655822886228687,2.3400365729511665,2.3400365729511665,0.41055578359780276,-16.41791044041003,-1.9032394697663893e-13,0.002656641604010119,-14.285714270408079,0.0,0.006441102756892344,-17.948717934911535,-3.330669070752968e-13,-0.003784461152882256,9.927209296849583,9.927209296849583,0.28359916239801813,17.798016496514578,0.4673168151506645,-5.344231862517287,0.18371765275264548
9,RIGHT,547,571,601,547,571,601,18.23333333333333,19.03333333333333,20.03333333333333,1.8000000000000007,0.8000000000000007,1.0,110.93466398563334,137.1466416917848,26.211977706151455,138.19284987604163,0.998284688501647,138.66832998204154,111.98087216989018,61.63036888090738,123.84196453084633,138.66832998204154,111.98087216989019,231.76600920683154,180.81688489396674,231.76600920683154,132.8326441120621,108.35530384923115,121.3094976425362,0.5612342508275232,0.5399710999394564,563.9871601918423,379.07564625001606,457.0625517769764,928.9399546184441,736.7814717651077,928.9399546184441,1,0.5555555555555554,194.63808758135792,59.935350612526875,0.5,0.0,0.0,0,0.05809985709190094,0.12489813473605928,0.3366231502074259,0.008552448139369442,0.009630177961555403,0.01194098715525569,0.035472863788178856,10,0.47368421052631576,-3.166783167300302,1.8253230569949466,4.628564430724116,-0.4925274466299475,-9.717055114282624,-1.8107760889987643,1.0962890392848879,0.07581699592333775,-18.84043381730908,-3.6497151437591793,0.0,0.41055578359780276,-19.402985065938932,-3.571428569515109,0.002656641604010119,-14.285714270408079,0.0,0.006441102756892344,-23.0769230591716,-6.249999994140292,-0.003784461152882256,11.571328713630066,11.571328713630066,0.28359916239801813,20.760826080462834,0.4673168151506645,-6.244476981782075,0.18371765275264548
