rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,concentric_duration,eccentric_duration,rom_deg,elbow_start_deg,elbow_peak_deg,elbow_end_deg,mean_vis_arm,concentric_velocity_mean_deg_s,eccentric_velocity_mean_deg_s,rep_velocity_rom_per_sec_deg_s,rep_velocity_path_deg_s,concentric_path_velocity_deg_s,eccentric_path_velocity_deg_s,concentric_speed_peak_deg_s,eccentric_speed_peak_deg_s,rep_speed_peak_deg_s,concentric_speed_mean_abs_deg_s,eccentric_speed_mean_abs_deg_s,rep_speed_mean_abs_deg_s,concentric_velocity_cv,rep_velocity_cv,concentric_accel_mean_abs_deg_s2,eccentric_accel_mean_abs_deg_s2,rep_accel_mean_abs_deg_s2,concentric_accel_peak_abs_deg_s2,eccentric_accel_peak_abs_deg_s2,rep_accel_peak_abs_deg_s2,velocity_reversal_count,movement_fragmentation_index,sticking_min_speed_deg_s,sticking_angle_deg,sticking_time_from_rep_start_sec,sticking_duration_sec,sticking_ratio_concentric,has_sticking_point,shoulder_path_length_norm,elbow_path_length_norm,wrist_path_length_norm,shoulder_displacement_norm,elbow_displacement_norm,wrist_displacement_norm,wrist_path_efficiency,rep_number_in_series,series_progress_norm,vbt_concentric_velocity_loss_from_first_pct,vbt_concentric_velocity_loss_from_previous_pct,vbt_concentric_velocity_loss_from_best_pct,vbt_concentric_velocity_slope_per_rep,vbt_rep_velocity_loss_from_first_pct,vbt_rep_velocity_loss_from_previous_pct,vbt_rep_velocity_loss_from_best_pct,vbt_rep_velocity_slope_per_rep,vbt_path_velocity_loss_from_first_pct,vbt_path_velocity_loss_from_previous_pct,vbt_path_velocity_loss_from_best_pct,vbt_path_velocity_slope_per_rep,rep_duration_increase_from_first_pct,rep_duration_increase_from_previous_pct,rep_duration_slope_per_rep,concentric_duration_increase_from_first_pct,concentric_duration_increase_from_previous_pct,concentric_duration_slope_per_rep,eccentric_duration_increase_from_first_pct,eccentric_duration_increase_from_previous_pct,eccentric_duration_slope_per_rep,rom_loss_from_first_pct,rom_loss_from_best_pct,rom_slope_deg_per_rep,elbow_start_extension_loss_from_first_deg,elbow_start_slope_deg_per_rep,elbow_peak_flexion_loss_from_first_deg,elbow_peak_slope_deg_per_rep
0,RIGHT,51,81,112,51,81,112,1.7,2.7,3.733333333333333,2.033333333333333,1.0000000000000002,1.0333333333333328,142.32570144044678,179.4108046627347,37.08510322228793,179.13089946862775,0.9713101153091718,142.32570144044675,137.46367378678053,69.99624661005579,139.85483492792784,142.32570144044675,137.46367378678053,318.03492181767206,310.76415336389186,318.03492181767206,137.7591653703507,132.92300811532874,137.33389546368795,0.8488669144816129,0.8018203926699689,639.3596078711695,584.1337411644179,600.8971272629642,1720.887648023095,1478.2566234927533,1720.887648023095,1,0.49180327868852464,298.85296072172264,82.03502296292066,0.7,0.0,0.0,0,0.17412148150368018,0.2364075311862576,0.9823385341410836,0.002090014576682552,0.005057867482296622,0.01216895493390371,0.012387740591428335,1,0.0,0.0,,0.0,-0.8046705110324903,0.0,,0.0,-0.26249298540602634,0.0,,0.0,-0.527355721126495,0.0,,0.007878787878787713,0.0,,0.0060606060606062,0.0,,0.001818181818181504,0.0,0.0,-0.08007319920685771,0.0,0.04124946136569991,0.0,0.12132266057255414
1,RIGHT,112,142,177,112,142,177,3.733333333333333,4.733333333333333,5.9,2.1666666666666674,1.0000000000000004,1.166666666666667,142.0574422691631,179.13089946862775,37.07345719946465,178.7523122164893,0.9661701053682,142.05744226916303,121.43901858602108,65.56497335499833,130.96358328166866,142.0755754265909,121.4390185860211,327.4553025751982,290.871153153613,327.4553025751982,137.21395752741083,117.82810019765682,128.69599145817978,0.8406448182898312,0.855031799015831,643.576402319937,500.7105143220923,559.2802593232977,1415.708744670483,1482.341401157149,1482.341401157149,1,0.4615384615384614,273.79171363338196,76.58358270539905,0.7333333333333338,0.0,0.0,0,0.18210870621768072,0.23235106082420434,0.9105280971875728,0.0061984274100259805,0.0046673824537062135,0.02080721938454005,0.02285181473126323,2,0.1,0.1884825920876134,0.1884825920876134,0.1884825920876134,-0.8046705110324903,6.33072981710072,6.33072981710072,6.33072981710072,-0.26249298540602634,6.3574860681631655,6.3574860681631655,6.3574860681631655,-0.527355721126495,6.55737704595543,6.55737704595543,0.007878787878787713,2.2204460470298662e-14,2.2204460470298662e-14,0.0060606060606062,12.90322579396471,12.90322579396471,0.001818181818181504,0.1884825920875934,0.1884825920875934,-0.08007319920685771,0.27990519410695924,0.04124946136569991,-0.011646022823278201,0.12132266057255414
2,RIGHT,177,208,242,177,208,242,5.9,6.933333333333334,8.066666666666666,2.166666666666666,1.0333333333333332,1.1333333333333329,139.87240755768295,178.7523122164893,38.879904658806325,179.50231947899584,0.9631514856309603,135.36039441066094,124.07860131193199,64.55649579585369,129.45914878978735,135.36039441066094,124.07860131193196,307.11173178511376,293.85516246844145,307.11173178511376,130.95507713567054,120.35791236995823,127.31210889873282,0.8552157166868214,0.853836548861783,582.3870764328271,517.5691064369054,545.0674674553783,1538.385189449551,1779.7371191456602,1779.7371191456602,1,0.4615384615384617,280.35721245039053,130.66240470722684,0.5999999999999996,0.0,0.0,0,0.17934557618726885,0.2413892688219235,0.9469597464559348,0.006640297083168007,0.0054419079654696115,0.019663572572589497,0.02076495082941153,3,0.2,4.8939207460371135,4.714323833710682,4.8939207460371135,-0.8046705110324903,7.771489297746002,1.5381346281785302,7.771489297746002,-0.26249298540602634,7.4331975318718335,1.1487426154446134,7.4331975318718335,-0.527355721126495,6.557377045955365,-6.148927518162898e-14,0.007878787878787713,3.333333329999965,3.333333329999942,0.0060606060606062,9.677419345473478,-2.857142854693943,0.001818181818181504,1.7237181042618104,1.7237181042618104,-0.08007319920685771,0.6584924462454183,0.04124946136569991,1.794801436518398,0.12132266057255414
3,RIGHT,242,274,309,242,274,309,8.066666666666666,9.133333333333333,10.3,2.2333333333333343,1.0666666666666664,1.1666666666666679,143.67012680009802,179.50231947899584,35.83219267889783,179.57706896751594,0.9638450472962624,134.69074387509193,123.20989396167255,64.32990752243192,128.69328496509672,134.6907438750919,123.20989396167255,313.255436918128,288.2523647809471,313.255436918128,130.54527221988687,120.0846589299578,126.76907113641543,0.852940135804689,0.8274648805940599,568.4054441023278,494.99627586287795,527.2405379532768,1292.6999183253365,1269.7473460836623,1292.6999183253365,1,0.44776119402985054,265.8167814902454,132.29100255883014,0.5999999999999996,0.0,0.0,0,0.15414005382688173,0.25262463213523223,0.9716415206401815,0.011332777552255872,0.012054963470002915,0.014836695373741398,0.015269721454437234,4,0.3,5.364426444436581,0.4947167437562745,5.364426444436581,-0.8046705110324903,8.095204188747,0.350992213292983,8.095204188747,-0.26249298540602634,7.980810937643487,0.5915872550099196,7.980810937643487,-0.527355721126495,9.836065568933135,3.0769230755030303,0.007878787878787713,6.666666659999952,3.225806448491144,0.0060606060606062,12.903225793964795,2.941176467993227,0.001818181818181504,-0.944611792554095,0.0,-0.08007319920685771,-0.09151481626113878,0.04124946136569991,-1.2529105433900938,0.12132266057255414
4,RIGHT,309,342,378,309,342,378,10.3,11.4,12.6,2.299999999999999,1.0999999999999996,1.1999999999999993,142.0783899406316,179.57706896751594,37.49867902688432,179.37709265577763,0.9636244447458359,129.1621726733015,118.23201135741118,61.773213017665945,123.45947981283693,129.16217267330154,118.23201135741115,290.41633479104667,305.36387706183064,305.36387706183064,125.25622198822005,115.11881800464269,121.59226400489362,0.8458380438990577,0.8695302557491835,516.4865171355235,508.6504372018191,506.9701134757773,1761.3548905348475,1417.3621766578983,1761.3548905348475,1,0.4347826086956524,259.28810114800035,78.16834067413214,0.7999999999999989,0.0,0.0,0,0.15668011964090453,0.2769669252115205,0.9373186974563442,0.004483805595600081,0.003404603340224784,0.010093533000545107,0.01076851771754528,5,0.4,9.248876790226646,4.104640781311888,9.248876790226646,-0.8046705110324903,11.747820762565048,3.974348173646468,11.747820762565048,-0.26249298540602634,11.723123568393461,4.066882863110221,11.723123568393461,-0.527355721126495,13.11475409191073,2.9850746255289793,0.007878787878787713,9.999999989999939,3.1249999970703017,0.0060606060606062,16.129032242455768,2.857142854693712,0.001818181818181504,0.17376446931962838,1.1079108057516125,-0.08007319920685771,-0.16626430478123666,0.04124946136569991,0.4135758045963911,0.12132266057255414
5,RIGHT,378,410,445,378,410,445,12.6,13.666666666666666,14.833333333333334,2.2333333333333343,1.0666666666666664,1.1666666666666679,140.34338662976464,179.37709265577763,39.033706026013,179.66818579575985,0.9708401128357531,131.57192496540438,120.54383980264005,62.84032237153638,125.81098495500511,131.57192496540438,120.54383980264005,293.00201509531325,286.32644791716893,293.00201509531325,127.97614243872032,117.18334980242656,123.94715100675108,0.8083587073862104,0.7952673102711755,562.980315499732,476.03133429868353,506.9227812156291,1392.7140278072468,1613.0685714598999,1613.0685714598999,1,0.44776119402985054,267.59572898276497,134.5850725352517,0.5333333333333332,0.0,0.0,0,0.12940661390778127,0.22346232796875412,0.8947689655198355,0.013690388039917869,0.010033235820736893,0.0151485503811593,0.016930124942764885,6,0.5,7.555751607847519,-1.865679588852501,7.555751607847519,-0.8046705110324903,10.223297083745551,-1.7274629272529312,10.223297083745551,-0.26249298540602634,10.041733616188248,-1.9046776689112779,10.041733616188248,-0.527355721126495,9.836065568933135,-2.8985507233773555,0.007878787878787713,6.666666659999952,-3.0303030275481992,0.0060606060606062,12.903225793964795,-2.7777777754628064,0.001818181818181504,1.3928017150842364,2.315540637713111,-0.08007319920685771,0.033712006957074436,0.04124946136569991,1.9486028037250733,0.12132266057255414
6,RIGHT,445,480,512,445,480,512,14.833333333333334,16.0,17.066666666666666,2.2333333333333325,1.166666666666666,1.0666666666666664,140.90849059085124,179.66818579575985,38.75969520490861,179.3669118026205,0.9671070479294833,120.7787062207297,131.81926556035492,63.09335399590356,126.05180918890893,120.7787062207297,131.81926556035492,285.2677314663774,298.3928684303296,298.3928684303296,117.18383726402519,127.45895820763576,123.84273568874875,0.872181829172284,0.8151788591057939,489.54429047306115,543.8796709957805,509.1023541661307,1330.1851320590458,1299.9922289150422,1330.1851320590458,1,0.44776119402985093,250.82585407254055,80.27396490639714,0.8666666666666654,0.0,0.0,0,0.16590104585217044,0.25126639559426117,0.9403278160491387,0.004618090731021984,0.0024563357165475444,0.011639781900055605,0.012378429842648985,7,0.6,15.13921589810787,8.20328405731741,15.13921589810787,-0.8046705110324903,9.861803951444918,-0.40265806223452233,9.861803951444918,-0.26249298540602634,9.86953775751364,-0.19141749346294076,9.86953775751364,-0.527355721126495,9.836065568933048,-7.953836590768057e-14,0.007878787878787713,16.666666649999915,9.374999991210906,0.0060606060606062,3.2258064484911877,-8.571428564081746,0.001818181818181504,0.9957518812430227,1.9222062865372707,-0.08007319920685771,-0.25738113302514876,0.04124946136569991,1.674591982620683,0.12132266057255414
7,RIGHT,512,542,577,512,542,577,17.066666666666666,18.066666666666663,19.23333333333333,2.1666666666666643,0.9999999999999964,1.1666666666666679,143.6648792308938,179.3669118026205,35.70203257172669,179.45839993855813,0.9663447551052979,143.66487923089431,123.21974345728398,66.30686733733567,132.65595996818104,143.66487923089431,123.21974345728395,324.8124948532634,298.28326885596925,324.8124948532634,138.89929807025425,120.08933581364232,130.51421835805093,0.8266773396697029,0.8352683817257903,630.3042939928022,517.8992789211027,563.9094856645223,1308.1518522151418,1385.5041678700663,1385.5041678700663,1,0.46153846153846206,283.85639070086415,74.82513938258707,0.7333333333333343,0.0,0.0,0,0.15237843674813703,0.23698107056274342,0.966953011141179,0.006101107685378341,0.013399030278734406,0.01859590126990085,0.01923144253716562,8,0.7,-0.940924778086203,-18.94884762894329,0.0,-0.8046705110324903,5.270824438945539,-5.093267575519636,5.270824438945539,-0.26249298540602634,5.147390838082334,-5.239235217419472,5.147390838082334,-0.527355721126495,6.557377045955278,-2.985074625529141,0.007878787878787713,-3.774758279950773e-13,-14.28571427346965,0.0060606060606062,12.903225793964795,9.374999991211071,0.001818181818181504,-0.9409247780858234,0.003652512405365951,-0.08007319920685771,0.04389286011419813,0.04124946136569991,-1.383070650561237,0.12132266057255414
8,RIGHT,577,607,640,577,607,640,19.23333333333333,20.23333333333333,21.33333333333333,2.099999999999998,1.0,1.0999999999999979,139.90402677259908,179.45839993855813,39.55437316595905,179.43401362259024,0.9646433681870501,139.90402677259908,127.16330950602861,66.62096512980915,133.230317728205,139.90402677259905,127.16330950602861,308.8205451506619,289.3255274045157,308.8205451506619,135.40686296900006,123.78307683123063,131.13896072759823,0.8513256218223163,0.8168870428999478,607.0258586388559,534.4420513192306,562.215023327336,1549.8670850361314,1380.5862770002718,1549.8670850361314,1,0.47619047619047666,284.7539724678627,81.26890132693879,0.7333333333333343,0.0,0.0,0,0.13798771278754424,0.23659917821446658,0.9242858195179954,0.009614998851313842,0.012608538892107873,0.02402200732744252,0.02598980404131887,9,0.8,1.7015020079447514,2.6177953014005007,2.6177953014005007,-0.8046705110324903,4.822089245730387,-0.4737032604341997,4.822089245730387,-0.26249298540602634,4.736709462414601,-0.43296792707797965,4.736709462414601,-0.527355721126495,3.278688522977595,-3.076923075502951,0.007878787878787713,-2.2204460470298662e-14,3.5527136752477996e-13,0.0060606060606062,6.451612896982162,-5.714285709388033,0.001818181818181504,1.7015020079447711,2.621352198507389,-0.08007319920685771,-0.04759527582342571,0.04124946136569991,2.4692699436711223,0.12132266057255414
9,RIGHT,640,675,712,640,675,712,21.33333333333333,22.5,23.73333333333333,2.400000000000002,1.1666666666666714,1.2333333333333307,142.293918663215,179.43401362259024,37.140094959375226,179.68808856127023,0.9669998538548542,121.96621599704095,115.57945427180701,59.289132776339535,118.6841301104624,121.96621599704096,115.57945427180702,290.86771698238954,306.16346367646815,306.16346367646815,118.73768645042173,112.38544578554351,116.89853283090305,0.8779106108100572,0.8809600726699097,510.2895748785725,483.4148930812115,489.0437299736438,1339.6136947830487,1215.097686511113,1339.6136947830487,1,0.4166666666666663,258.34540394855344,130.0008908282386,0.6666666666666714,0.0,0.0,0,0.15524462489931146,0.24980143881424294,0.9281990639266731,0.01000397434617071,0.011340738750826803,0.006797854029253379,0.007323702741624833,10,0.9,14.304855157718482,12.82151142410372,15.103665801875508,-0.8046705110324903,15.296697111792113,11.005292912034047,15.296697111792113,-0.26249298540602634,15.137628118630348,10.918076204928218,15.137628118630348,-0.527355721126495,18.03278687637743,14.285714278911781,0.007878787878787713,16.666666650000447,16.666666650000472,0.0060606060606062,19.354838690946742,12.121212110192817,0.001818181818181504,0.02233101745494928,0.9578944262980147,-0.08007319920685771,-0.023208959855537614,0.04124946136569991,0.054991737087298986,0.12132266057255414
