rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,140,176,226,140,176,226,4.666666666666667,5.866666666666666,7.533333333333333,2.8666666666666663,131.79839301719346,175.43006340744785,43.63167039025439,0.9476912763840394
1,RIGHT,282,319,346,282,319,346,9.4,10.633333333333333,11.533333333333331,2.133333333333331,141.51673576086588,179.15278432800798,37.636048567142105,0.9524147981252427
2,RIGHT,431,455,516,431,455,516,14.366666666666667,15.166666666666666,17.2,2.833333333333332,128.39619702054065,177.70672282106048,49.31052580051982,0.9560358937858612
3,RIGHT,587,614,621,587,614,621,19.566666666666663,20.466666666666665,20.7,1.1333333333333364,120.79108319211485,177.83282630581485,57.0417431137,0.9378701720918928
4,RIGHT,761,829,864,761,829,864,25.366666666666667,27.633333333333333,28.8,3.4333333333333336,143.44391552615107,178.9821034111521,35.53818788500104,0.9189350769305841
