rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,58,81,98,58,81,98,1.9333333333333331,2.7,3.2666666666666666,1.3333333333333335,137.2008241883122,172.35493275970296,35.15410857139077,0.987980443287671
1,RIGHT,98,116,142,98,116,142,3.2666666666666666,3.8666666666666663,4.733333333333333,1.4666666666666668,159.77335479962255,169.11002907995814,9.336674280335584,0.9840096067499229
2,RIGHT,142,160,193,142,160,193,4.733333333333333,5.333333333333333,6.433333333333334,1.7000000000000002,150.25175798898243,168.71937960153133,18.46762161254891,0.98010437305157
3,RIGHT,193,212,262,193,212,262,6.433333333333334,7.066666666666666,8.733333333333333,2.299999999999999,156.09255204666118,169.27299664201328,13.180444595352101,0.9794791159175692
4,RIGHT,262,288,330,262,288,330,8.733333333333333,9.6,11.0,2.2666666666666675,167.24129715107537,172.11803987747146,4.876742726396075,0.9961983532721295
5,RIGHT,330,354,383,330,354,383,11.0,11.8,12.766666666666667,1.7666666666666675,164.243507223075,169.43264492032517,5.1891376972501675,0.9974358372482253
6,RIGHT,383,400,431,383,400,431,12.766666666666667,13.333333333333334,14.366666666666667,1.5999999999999996,161.2267656718343,169.1763126859593,7.949547014124979,0.996681622907418
