rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,70,127,152,70,127,152,2.333333333333333,4.233333333333333,5.066666666666666,2.7333333333333334,79.3932681203428,165.23574861387914,85.84248049353634,0.8339013264239211
1,RIGHT,152,174,197,152,174,197,5.066666666666666,5.8,6.566666666666666,1.5,82.86976074549233,155.00017970264597,72.13041895715364,0.9937565084816754
2,RIGHT,197,219,244,197,219,244,6.566666666666666,7.3,8.133333333333333,1.5666666666666664,80.10152537510456,148.75655636274448,68.65503098763992,0.9915652717981075
3,RIGHT,244,265,289,244,265,289,8.133333333333333,8.833333333333334,9.633333333333333,1.5,84.12469569570891,154.25589137240488,70.13119567669597,0.9942086922085805
4,RIGHT,289,317,339,289,317,339,9.633333333333333,10.566666666666666,11.3,1.6666666666666679,62.69445823717356,151.22184480666826,88.5273865694947,0.9649110631225934
5,RIGHT,339,354,365,339,354,365,11.3,11.8,12.166666666666666,0.8666666666666654,26.266277355631544,138.99904006965923,112.73276271402769,0.9705834837607397
6,RIGHT,392,417,450,392,417,450,13.066666666666666,13.9,15.0,1.9333333333333336,35.20133301816898,137.1355406925221,101.93420767435313,0.9771827099013463
7,RIGHT,450,487,519,450,487,519,15.0,16.233333333333334,17.3,2.3000000000000007,52.984253268204895,134.63519464278298,81.65094137457808,0.9871055058070594
8,RIGHT,519,557,597,519,557,597,17.3,18.566666666666663,19.9,2.599999999999998,71.79045265996754,141.68704674027094,69.8965940803034,0.9735861631888377
9,RIGHT,597,611,624,597,611,624,19.9,20.366666666666667,20.8,0.9000000000000021,83.88787873388037,139.2426473921366,55.35476865825623,0.9103745654934928
10,RIGHT,624,654,668,624,654,668,20.8,21.8,22.266666666666666,1.466666666666665,71.92943502102806,141.16983179665473,69.24039677562668,0.6054791999168884
11,RIGHT,668,682,724,668,682,724,22.266666666666666,22.73333333333333,24.133333333333333,1.8666666666666671,48.31948277713046,143.12095292785804,94.80147015072758,0.7463088719283834
12,RIGHT,724,804,832,724,804,832,24.133333333333333,26.8,27.73333333333333,3.599999999999998,89.8602089598135,174.45479553334823,84.59458657353473,0.9706358305282061
13,RIGHT,832,867,896,832,867,896,27.73333333333333,28.9,29.866666666666667,2.1333333333333364,48.410616263462614,134.07960748480374,85.66899122134113,0.9810810410059415
14,RIGHT,896,929,957,896,929,957,29.866666666666667,30.966666666666665,31.9,2.0333333333333314,53.33596723532074,137.77616001462113,84.44019277930039,0.9841675710293556
15,RIGHT,957,989,1014,957,989,1014,31.9,32.96666666666667,33.8,1.8999999999999986,48.32236333361752,138.35098634885827,90.02862301524075,0.9818307082543428
16,RIGHT,1014,1047,1071,1014,1047,1071,33.8,34.9,35.7,1.9000000000000057,37.24951171318878,134.9801112755257,97.73059956233692,0.9854828280279005
17,RIGHT,1071,1101,1125,1071,1101,1125,35.7,36.7,37.5,1.7999999999999972,30.870506167242652,128.8627787682058,97.99227260096315,0.9917200243834292
18,RIGHT,1125,1156,1185,1125,1156,1185,37.5,38.53333333333333,39.5,2.0,38.78060901960691,133.07131156662706,94.29070254702015,0.9843621524305293
