rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,64,89,116,64,89,116,2.1333333333333333,2.966666666666667,3.8666666666666663,1.733333333333333,153.12797021993026,172.1625092045524,19.03453898462215,0.9700770936672042
1,LEFT,116,136,166,116,136,166,3.8666666666666663,4.533333333333333,5.533333333333333,1.666666666666667,157.03757771018613,170.2402637743697,13.202686064183586,0.9804900436619528
2,LEFT,166,188,218,166,188,218,5.533333333333333,6.266666666666667,7.266666666666667,1.7333333333333334,160.13100762341193,169.4231850027359,9.292177379323947,0.9869324909815996
3,LEFT,218,245,268,218,245,268,7.266666666666667,8.166666666666666,8.933333333333334,1.666666666666667,161.99187800687451,168.815013244708,6.823135237833509,0.9921005551331964
4,LEFT,268,296,322,268,296,322,8.933333333333334,9.866666666666667,10.733333333333333,1.799999999999999,161.52937869638112,168.21081226351126,6.681433567130142,0.9926456397229974
5,LEFT,322,348,374,322,348,374,10.733333333333333,11.6,12.466666666666669,1.733333333333336,161.90960588979604,169.20178840444714,7.292182514651103,0.9926471226620224
6,LEFT,374,397,430,374,397,430,12.466666666666669,13.233333333333333,14.333333333333334,1.8666666666666654,159.45265092800932,165.9257673377243,6.473116409714968,0.9941084235035189
