rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,46,83,123,46,83,123,1.5333333333333334,2.7666666666666666,4.1,2.5666666666666664,53.015671677720164,158.8819319516122,105.86626027389202,0.7994473101491603
1,RIGHT,123,156,177,123,156,177,4.1,5.2,5.9,1.8000000000000007,68.7583054187281,164.66375712893844,95.90545171021034,0.8482683474367314
2,RIGHT,177,219,250,177,219,250,5.9,7.3,8.333333333333334,2.4333333333333336,50.309459561134815,156.80466348405355,106.49520392291873,0.7803682875525845
3,RIGHT,250,287,301,250,287,301,8.333333333333334,9.566666666666666,10.033333333333331,1.6999999999999975,44.60361708702543,165.5346281662585,120.93101107923307,0.8783197204271953
4,RIGHT,337,361,403,337,361,403,11.233333333333333,12.033333333333331,13.433333333333334,2.200000000000001,53.00973977520155,160.91510626780877,107.90536649260721,0.8348553499475639
