rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,69,93,120,69,93,120,2.3,3.1,4.0,1.7000000000000002,136.23066201829027,141.99225492996146,5.761592911671199,0.9880033104847639
1,RIGHT,120,141,169,120,141,169,4.0,4.7,5.633333333333334,1.6333333333333337,133.10707267001254,139.49714531442697,6.390072644414423,0.9895429730415344
2,RIGHT,169,194,224,169,194,224,5.633333333333334,6.466666666666667,7.466666666666667,1.833333333333333,137.22422017980603,142.79717371249393,5.572953532687906,0.98905439107191
3,RIGHT,224,248,287,224,248,287,7.466666666666667,8.266666666666667,9.566666666666666,2.0999999999999996,136.80495261182256,140.60596385512886,3.8010112433063172,0.9861027828107277
4,RIGHT,287,315,364,287,315,364,9.566666666666666,10.5,12.133333333333333,2.5666666666666664,134.09119632251486,139.7283938336295,5.637197511114644,0.9821117999207261
5,RIGHT,364,406,463,364,406,463,12.133333333333333,13.533333333333331,15.433333333333334,3.3000000000000007,143.07303140380398,145.96289861304743,2.889867209243462,0.9854755914211273
6,RIGHT,463,500,509,463,500,509,15.433333333333334,16.666666666666668,16.966666666666665,1.5333333333333314,136.07867058694472,139.91743928565177,3.8387686987070357,0.9895368810241105
7,RIGHT,549,578,586,549,578,586,18.3,19.266666666666666,19.53333333333333,1.2333333333333307,133.67573007007022,141.38137062817717,7.7056405581069525,0.9908176508911868
8,RIGHT,622,655,696,622,655,696,20.73333333333333,21.83333333333333,23.2,2.4666666666666686,136.88456301246902,144.61657573051508,7.73201271804607,0.9909142578972712
