rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,65,89,116,65,89,116,2.1666666666666665,2.966666666666667,3.8666666666666663,1.6999999999999997,41.73719469612399,124.79728146955536,83.06008677343137,0.9709093880194886
1,LEFT,116,140,167,116,140,167,3.8666666666666663,4.666666666666667,5.566666666666666,1.7000000000000002,34.38903986411532,119.76498865467947,85.37594879056415,0.9710063193088921
2,LEFT,167,188,209,167,188,209,5.566666666666666,6.266666666666667,6.966666666666667,1.4000000000000004,35.9922416917815,128.40279692035952,92.41055522857802,0.9667446821234948
3,LEFT,358,373,394,358,373,394,11.933333333333334,12.433333333333334,13.133333333333333,1.1999999999999993,46.50437310347412,124.45213091681052,77.9477578133364,0.9465082851616112
4,LEFT,445,472,500,445,472,500,14.833333333333334,15.733333333333333,16.666666666666668,1.833333333333334,70.31857290738401,135.31359765533924,64.99502474795523,0.9526990982038634
5,LEFT,548,573,594,548,573,594,18.266666666666666,19.1,19.8,1.533333333333335,33.12340701379928,158.16611856586104,125.04271155206176,0.9659343404127352
6,LEFT,594,621,641,594,621,641,19.8,20.7,21.366666666666667,1.5666666666666664,71.08146885819203,132.66326222646396,61.58179336827193,0.9403808125191265
7,LEFT,706,720,737,706,720,737,23.53333333333333,24.0,24.566666666666663,1.0333333333333314,38.72864599165021,153.07171226297808,114.34306627132787,0.973815900584062
8,LEFT,737,755,781,737,755,781,24.566666666666663,25.166666666666668,26.03333333333333,1.4666666666666686,72.6499922651054,134.51701311165536,61.86702084654996,0.9379768146408929
9,LEFT,813,834,844,813,834,844,27.1,27.8,28.133333333333333,1.0333333333333314,28.760297706652423,152.86857399206713,124.1082762854147,0.9508574499438206
10,LEFT,844,863,903,844,863,903,28.133333333333333,28.766666666666666,30.1,1.9666666666666686,58.99751297174633,136.30861341135684,77.31110043961051,0.9422777742147446
11,LEFT,903,940,952,903,940,952,30.1,31.33333333333333,31.73333333333333,1.6333333333333293,44.570088967025114,171.59421352451216,127.02412455748704,0.9070524291197458
12,LEFT,952,974,991,952,974,991,31.73333333333333,32.46666666666667,33.03333333333333,1.3000000000000007,60.23937555464981,140.96313007438417,80.72375451973436,0.9359278033177058
