rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,73,99,136,73,99,136,2.433333333333333,3.3,4.533333333333333,2.1,130.2570680578188,144.54159101590372,14.284522958084931,0.9850282634918888
1,RIGHT,136,166,196,136,166,196,4.533333333333333,5.533333333333333,6.533333333333333,2.0,124.45855076289234,134.70207864459502,10.243527881702674,0.9775263422825297
2,RIGHT,196,223,255,196,223,255,6.533333333333333,7.433333333333334,8.5,1.9666666666666668,121.75475306608632,133.99514964217587,12.240396576089552,0.9751286245054669
3,RIGHT,255,278,314,255,278,314,8.5,9.266666666666667,10.466666666666669,1.9666666666666686,125.7530968729346,134.846010751508,9.092913878573405,0.9768696569734149
4,RIGHT,314,338,389,314,338,389,10.466666666666669,11.266666666666667,12.966666666666669,2.5,119.61501866237543,132.2229549812644,12.60793631888896,0.9715546301582405
5,RIGHT,389,424,428,389,424,428,12.966666666666669,14.133333333333333,14.266666666666667,1.299999999999999,134.5055016724724,147.39349367519597,12.887992002723553,0.991181980073452
6,RIGHT,470,498,509,470,498,509,15.666666666666666,16.6,16.966666666666665,1.299999999999999,135.35798094204657,147.54286982074035,12.184888878693789,0.9792880554993946
7,RIGHT,556,604,614,556,604,614,18.53333333333333,20.133333333333333,20.466666666666665,1.9333333333333336,154.63333485841866,165.34761883618506,10.714283977766394,0.9857514399593158
8,RIGHT,659,729,740,659,729,740,21.966666666666665,24.3,24.666666666666668,2.700000000000003,147.0263497944637,157.69394127250254,10.667591478038856,0.9918391140011269
9,RIGHT,782,846,861,782,846,861,26.066666666666663,28.2,28.7,2.6333333333333364,153.78644390364565,163.15892254724704,9.372478643601404,0.9880001698931057
10,RIGHT,900,963,975,900,963,975,30.0,32.1,32.5,2.5,152.06255973271456,163.33164809934536,11.269088366630799,0.9829904288053513
