rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,8,75,143,8,75,143,0.2666666666666666,2.5,4.766666666666667,4.5,138.69402824186426,166.68553080388293,27.991502562018653,0.8365912912230865
1,RIGHT,143,185,196,143,185,196,4.766666666666667,6.166666666666667,6.533333333333333,1.7666666666666666,136.1175721747437,168.14604811786356,32.028475943119844,0.8423049624687359
2,RIGHT,267,322,376,267,322,376,8.9,10.733333333333333,12.533333333333331,3.633333333333331,140.77030404292105,166.8503127895535,26.08000874663244,0.833552391240091
