rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,76,105,139,76,105,139,2.533333333333333,3.5,4.633333333333334,2.1000000000000005,136.43135466948036,141.45756362877046,5.026208959290089,0.988898916170001
1,RIGHT,139,166,201,139,166,201,4.633333333333334,5.533333333333333,6.7,2.0666666666666664,133.62913970943902,138.81340685914796,5.184267149708957,0.9900386078017099
2,RIGHT,201,228,264,201,228,264,6.7,7.6,8.8,2.1000000000000005,135.89296536056344,141.874966809254,5.982001448690574,0.9890357942009966
3,RIGHT,264,291,328,264,291,328,8.8,9.7,10.933333333333334,2.133333333333333,137.98175899824435,140.42489931643183,2.4431403181874907,0.9868232363309617
4,RIGHT,328,356,391,328,356,391,10.933333333333334,11.866666666666667,13.033333333333331,2.099999999999998,138.80795311836005,142.02329905267905,3.215345934318998,0.9846411552280188
5,RIGHT,391,423,462,391,423,462,13.033333333333331,14.1,15.4,2.366666666666669,140.52319143884486,143.62625467461467,3.1030632357698233,0.9865636422678278
6,RIGHT,462,492,534,462,492,534,15.4,16.4,17.8,2.4000000000000004,135.15627451091535,139.21623019896134,4.059955688045982,0.9898142362838465
7,RIGHT,534,562,569,534,562,569,17.8,18.73333333333333,18.966666666666665,1.1666666666666643,133.00399134986685,140.82867244078935,7.824681090922505,0.9909268667300544
8,RIGHT,608,644,650,608,644,650,20.266666666666666,21.466666666666665,21.666666666666668,1.4000000000000021,136.8888951487696,145.31562803343522,8.426732884665633,0.9913317616595778
