fold,thr,acc,f1,precision,recall,roc_auc,pr_auc
1,0.42653061224489797,0.8879159369527145,0.806060606060606,0.7348066298342542,0.8926174496644296,0.9237889245841152,0.7652358771041583
2,0.573469387755102,0.9478260869565217,0.9019607843137255,0.8846153846153846,0.92,0.9816627450980393,0.9548160506542771
3,0.7204081632653062,0.9301919720767888,0.8666666666666667,0.8843537414965986,0.8496732026143791,0.9680983504512917,0.9278935626255644
4,0.6224489795918368,0.9086206896551724,0.8417910447761194,0.8057142857142857,0.88125,0.9596279761904762,0.9064182483450873
5,0.6061224489795919,0.8979238754325259,0.8065573770491803,0.7735849056603774,0.8424657534246576,0.9520865043125317,0.8774306251922914
