rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm,video_id,parent_video_id,fail_rep_id,fail_rep_id_parent,fail_rep_id_final,fatigue_label,total_reps,rep_progress,delta_rep_duration,delta_rom_deg,delta_elbow_start_deg,delta_elbow_peak_deg,delta_mean_vis_arm,rel_rep_duration,rel_rom_deg,rel_elbow_start_deg,rel_elbow_peak_deg,rel_mean_vis_arm,rolling3_rep_duration,rolling3_rom_deg,rolling3_elbow_start_deg,rolling3_elbow_peak_deg,rolling3_mean_vis_arm
0,RIGHT,23,34,55,23,34,55,0.7666666666666667,1.1333333333333333,1.8333333333333333,1.0666666666666664,98.22494851590857,107.90484330612696,9.679894790218391,0.8365496655907293,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0666666666666664,98.22494851590857,107.90484330612696,9.679894790218391,0.8365496655907293
1,RIGHT,76,127,145,76,127,145,2.533333333333333,4.233333333333333,4.833333333333333,2.3,160.50544794297736,173.21997836811116,12.71453042513379,0.8528709403106145,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.030303030303030304,1.2333333333333334,62.28049942706879,65.3151350619842,3.0346356349153982,0.016321274719885204,1.1562500000000002,0.6340598836453634,0.6053030898407831,0.3134988241795687,0.01951022801301336,1.6833333333333331,129.36519822944297,140.56241083711905,11.19721260767609,0.844710302950672
2,RIGHT,174,207,218,174,207,218,5.8,6.9,7.266666666666667,1.4666666666666668,98.38434390260028,157.99401611072815,59.60967220812788,0.8851806260921335,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.06060606060606061,-0.833333333333333,-62.12110404037708,-15.225962257383003,46.895141782994095,0.03230968578151905,0.37500000000000044,0.001622758668750002,0.4641976325612909,5.1580909193727935,0.05813278338598524,1.611111111111111,119.03824678716207,146.37294592832208,27.33469914116002,0.8582004106644924
3,RIGHT,218,239,246,218,239,246,7.266666666666667,7.966666666666667,8.2,0.9333333333333328,154.10730149570995,170.20225282122388,16.094951325513932,0.8356484318601672,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.09090909090909091,-0.533333333333334,55.72295759310967,12.208236710495726,-43.51472088261395,-0.04953219423196631,-0.1250000000000003,0.5689221916033954,0.5773365458523362,0.6627196549468705,-0.001077322444359177,1.5666666666666664,137.6656977804292,167.13874910002107,29.47305131959187,0.8578999994209718
4,RIGHT,311,323,336,311,323,336,10.366666666666667,10.766666666666667,11.2,0.8333333333333321,127.96916599237716,133.5870058990649,5.617839906687746,0.9331063803954004,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.12121212121212122,-0.10000000000000064,-26.13813550333279,-36.615246922158974,-10.477111418826187,0.09745794853523315,-0.21875000000000094,0.3028173384244758,0.2380075055581836,-0.4196383299160837,0.11542257295206448,1.0777777777777773,126.82027046356245,153.92775827700567,27.107487813443186,0.8846451461159003
5,RIGHT,336,352,371,336,352,371,11.2,11.733333333333333,12.366666666666667,1.166666666666668,148.4220214229002,175.2756950204022,26.853673597502,0.8717884829750768,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.15151515151515152,0.3333333333333359,20.452855430523044,41.68868912133729,21.235833690814253,-0.061317897420323564,0.09375000000000157,0.5110419874525227,0.6243542889279172,1.77416998629343,0.04212399912856776,0.9777777777777777,143.49949630366243,159.68831791356365,16.188821609901225,0.8801810984102149
6,RIGHT,371,384,412,371,384,412,12.366666666666667,12.8,13.733333333333333,1.3666666666666654,42.028732495632354,57.96028763467755,15.93155513904519,0.8684414989418453,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.18181818181818182,0.1999999999999973,-106.39328892726785,-117.31540738572465,-10.922118458456808,-0.003346984033231526,0.28124999999999906,-0.572117541106928,-0.4628574041830197,0.6458397001529552,0.03812306030699994,1.122222222222222,106.13997330363658,122.27432951804822,16.134356214411643,0.8911121207707741
7,RIGHT,412,422,454,412,422,454,13.733333333333333,14.066666666666666,15.133333333333333,1.4000000000000004,81.52064289062199,128.20203672843172,46.68139383780974,0.9036716232004092,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.21212121212121213,0.03333333333333499,39.49191039498963,70.24174909375418,30.749838698764552,0.035230124258563866,0.3125000000000006,-0.17006173968705254,0.1881027097617986,3.822510455896861,0.08023666779220062,1.3111111111111113,90.65713226971819,120.47933979450382,29.822207524785643,0.8813005350391103
8,RIGHT,454,481,493,454,481,493,15.133333333333333,16.033333333333335,16.433333333333334,1.3000000000000007,149.789268889599,172.4758931035335,22.686624213934504,0.8770166049400965,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.24242424242424243,-0.09999999999999964,68.268625998977,44.273856375101786,-23.99476962387524,-0.02665501826031269,0.21875000000000094,0.5249615413678638,0.5984073357506106,1.3436849992274207,0.04837362444080527,1.3555555555555554,91.11288142528444,119.54607248888094,28.43319106359648,0.8830432423607837
9,RIGHT,493,503,523,493,503,523,16.433333333333334,16.766666666666666,17.433333333333334,1.0,27.7454056803402,39.34580929869178,11.600403618351583,0.9192492686292176,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.2727272727272727,-0.3000000000000007,-122.04386320925879,-133.13008380484172,-11.08622059558292,0.04223266368912115,-0.06249999999999979,-0.717531990603726,-0.6353656787483821,0.1984018287134568,0.0988579715468418,1.2333333333333336,86.35177248685373,113.34124637688565,26.989473890031945,0.8999791655899078
10,RIGHT,523,539,550,523,539,550,17.433333333333334,17.966666666666665,18.33333333333333,0.899999999999995,66.05574256965413,159.8710117019188,93.81526913226467,0.8558028581596556,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.30303030303030304,-0.10000000000000497,38.31033688931393,120.52520240322701,82.2148655139131,-0.06344641046956201,-0.15625000000000447,-0.3275054498098749,0.48159254768910953,8.6917653719817,0.023015002409128557,1.0666666666666653,81.19680571319778,123.89757136804803,42.70076565485025,0.8840229105763232
11,RIGHT,572,590,601,572,590,601,19.066666666666663,19.666666666666668,20.03333333333333,0.9666666666666686,160.1461257203971,175.77757046607042,15.631444745673315,0.8888757917616102,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.3333333333333333,0.06666666666667354,94.09038315074297,15.906558764151612,-78.18382438659135,0.033072933601954624,-0.09374999999999802,0.6304017272603584,0.6290053817824279,0.6148362233718709,0.06254993376147114,0.9555555555555545,84.64909132346382,124.99813048889366,40.34903916542986,0.8879759728501612
12,RIGHT,645,655,670,645,655,670,21.5,21.83333333333333,22.33333333333333,0.8333333333333286,77.10434459302672,154.51043316611924,77.40608857309252,0.885304258419917,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.36363636363636365,-0.13333333333333997,-83.04178112737037,-21.267137299951173,61.774643827419204,-0.003571533341693245,-0.21875000000000427,-0.2150228047150479,0.43191379026214627,6.99658366652001,0.058280571775448216,0.8999999999999974,101.102070961026,163.38633844470283,62.28426748367684,0.876660969447061
13,RIGHT,670,711,730,670,711,730,22.33333333333333,23.7,24.33333333333333,2.0,149.64427249717517,174.53713760586325,24.89286510868808,0.8902173843540129,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.3939393939393939,1.1666666666666714,72.53992790414844,20.02670443974401,-52.51322346440443,0.004913125934095874,0.8750000000000004,0.5234853747257369,0.6175097637712137,1.571604924243858,0.06415365515134852,1.2666666666666657,128.96491427019967,168.27504707935097,39.310132809151305,0.8881324781785134
14,RIGHT,730,745,762,730,745,762,24.33333333333333,24.83333333333333,25.4,1.06666666666667,28.1843658244019,42.58335075592821,14.398984931526307,0.9086179877772476,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.42424242424242425,-0.93333333333333,-121.45990667277326,-131.95378684993506,-10.493880177161774,0.018400603423234685,3.3306690738754704e-15,-0.7130630634045368,-0.6053620073834973,0.48751461080719527,0.0861494841858878,1.2999999999999996,84.9776609715346,123.8769738426369,38.8993128711023,0.8947132101837258
15,RIGHT,762,773,786,762,773,786,25.4,25.766666666666666,26.2,0.8000000000000007,142.14195633971886,165.91943071682513,23.77747437710627,0.8845121749242147,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.45454545454545453,-0.26666666666666927,113.95759051531695,123.33607996089692,9.378489445579962,-0.024105812853032815,-0.24999999999999917,0.44710644787660514,0.5376458148973934,1.4563773566148253,0.05733372602524052,1.2888888888888903,106.65686488709866,127.67997302620553,21.023108139106885,0.894449182351825
16,RIGHT,786,836,842,786,836,842,26.2,27.866666666666667,28.066666666666663,1.866666666666664,94.3848697168418,110.44455502605612,16.059685309214316,0.8776827343026099,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.48484848484848486,1.0666666666666633,-47.757086622877054,-55.47487569076901,-7.717789067891953,-0.006829440621604843,0.7499999999999979,-0.03909473974878,0.02353658688631774,0.659076431847457,0.04916990634720355,1.244444444444445,88.23706396032087,106.31577883293649,18.07871487261563,0.890270965668024
17,RIGHT,873,884,900,873,884,900,29.1,29.466666666666665,30.0,0.8999999999999986,91.026499233342,172.15654966136006,81.13005042801805,0.8474399752560117,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.5151515151515151,-0.9666666666666655,-3.3583704834998116,61.71199463530394,65.07036511880374,-0.030242759046598233,-0.15625000000000114,-0.07328534543747516,0.5954478444767345,7.381294651053501,0.013018126852746014,1.1888888888888878,109.18444176330088,149.5068451347471,40.322403371446214,0.869878294827612
18,RIGHT,900,939,950,900,939,950,30.0,31.3,31.666666666666668,1.666666666666668,125.89565911541992,149.00729632928767,23.111637213867752,0.8769303275868783,friends_record_01,friends_record_01,26.0,26.0,26.0,0,33,0.5454545454545454,0.7666666666666695,34.86915988207792,-23.14925333207239,-58.0184132141503,0.02949035233086661,0.5625000000000017,0.2817075602236614,0.3809138845283589,1.3875917780864975,0.048270489675749484,1.477777777777777,103.76900935520125,143.86946700556794,40.10045765036671,0.8673510123818332
