frame,time_sec,lm23_x,lm23_y,lm23_z,lm23_vis,lm24_x,lm24_y,lm24_z,lm24_vis,lm11_x,lm11_y,lm11_z,lm11_vis,lm12_x,lm12_y,lm12_z,lm12_vis,lm13_x,lm13_y,lm13_z,lm13_vis,lm14_x,lm14_y,lm14_z,lm14_vis,lm15_x,lm15_y,lm15_z,lm15_vis,lm16_x,lm16_y,lm16_z,lm16_vis
0,0.0,0.4452665448188782,0.5696279406547546,-0.173816978931427,0.9989778995513916,0.2416847050189972,0.5614544153213501,0.1740923523902893,0.9972442388534546,0.5636013150215149,0.22019562125205994,-0.45570725202560425,0.999990701675415,0.1921018809080124,0.2381909191608429,0.0675383061170578,0.9998123049736023,0.6031844615936279,0.4132937788963318,-0.4121621251106262,0.9970170259475708,0.1784135103225708,0.413887619972229,0.21728047728538513,0.8010445237159729,0.5326993465423584,0.5764749050140381,-0.6531169414520264,0.9897786974906921,0.11021620035171509,0.5378378629684448,-0.19194389879703522,0.8755100965499878
1,0.03333333333333333,0.4462009072303772,0.5783388614654541,-0.17465181648731232,0.9989146590232849,0.24177750945091248,0.5696291327476501,0.1749868243932724,0.9972482323646545,0.5650011301040649,0.21986155211925507,-0.45599365234375,0.999990701675415,0.19017848372459412,0.23755373060703278,0.045389141887426376,0.9998198747634888,0.6066423058509827,0.4132794141769409,-0.4179282784461975,0.9970967769622803,0.1781006157398224,0.4139711558818817,0.20809586346149445,0.8040304183959961,0.5334132313728333,0.5781488418579102,-0.6430546045303345,0.9901129603385925,0.10943399369716644,0.5413365960121155,-0.1354791820049286,0.8765813112258911
2,0.06666666666666667,0.4473957419395447,0.5814921855926514,-0.18018464744091034,0.9988675117492676,0.24181702733039856,0.5757686495780945,0.1807006597518921,0.9972396492958069,0.5670248866081238,0.21954050660133362,-0.4952771067619324,0.9999908208847046,0.1898668259382248,0.23757052421569824,0.034553878009319305,0.9998233914375305,0.6090922355651855,0.41268911957740784,-0.4654121994972229,0.9972193837165833,0.1799861341714859,0.41598665714263916,0.21229319274425507,0.7997493743896484,0.5361393690109253,0.5785550475120544,-0.6935778856277466,0.9905962347984314,0.10796262323856354,0.5456432700157166,-0.13541129231452942,0.8762486577033997
3,0.1,0.44751110672950745,0.5850846171379089,-0.191901296377182,0.9988221526145935,0.24212126433849335,0.5785983800888062,0.1923818290233612,0.9972251057624817,0.5685676336288452,0.21949470043182373,-0.5087796449661255,0.9999910593032837,0.19021937251091003,0.23757417500019073,0.05597146227955818,0.9998300671577454,0.6106879115104675,0.41289573907852173,-0.4911274313926697,0.9973234534263611,0.18123380839824677,0.4184565842151642,0.24526207149028778,0.7970765829086304,0.5366467237472534,0.5805187821388245,-0.6868135929107666,0.9909951090812683,0.10721905529499054,0.54966801404953,-0.06781528145074844,0.8766553997993469
4,0.13333333333333333,0.4474179744720459,0.586634635925293,-0.19110670685768127,0.9987657070159912,0.24210861325263977,0.580601155757904,0.19149473309516907,0.9971681833267212,0.5691413283348083,0.2194928228855133,-0.4645203948020935,0.999991238117218,0.19135892391204834,0.23756049573421478,0.09699074923992157,0.999835193157196,0.6114882230758667,0.41288161277770996,-0.46995869278907776,0.9973498582839966,0.18118837475776672,0.41866278648376465,0.262882798910141,0.7959903478622437,0.5376068353652954,0.5816494226455688,-0.5966207981109619,0.9911582469940186,0.10648147016763687,0.5501290559768677,-0.015199385583400726,0.8763793110847473
5,0.16666666666666666,0.4473922848701477,0.5877808332443237,-0.19335979223251343,0.9987527132034302,0.24223692715168,0.5821865797042847,0.1939428746700287,0.9972493052482605,0.569581151008606,0.2197706252336502,-0.5324869751930237,0.9999911189079285,0.19146355986595154,0.23746712505817413,0.03705466538667679,0.9998427629470825,0.6120200157165527,0.41568586230278015,-0.5043889284133911,0.9974809288978577,0.18099388480186462,0.41863638162612915,0.25230830907821655,0.7915323972702026,0.5376463532447815,0.5845054388046265,-0.6840924620628357,0.9915817379951477,0.10579035431146622,0.5503304600715637,-0.054610252380371094,0.8754492402076721
6,0.2,0.4479857385158539,0.5876792669296265,-0.18154415488243103,0.9986876845359802,0.2428276538848877,0.5819281935691833,0.18210157752037048,0.9972529411315918,0.5698615312576294,0.2198634296655655,-0.5190047025680542,0.9999909996986389,0.19035625457763672,0.23700059950351715,0.004877759143710136,0.9998508095741272,0.6120548248291016,0.416245698928833,-0.47951874136924744,0.9975070953369141,0.18034346401691437,0.4184788465499878,0.18403197824954987,0.7963576316833496,0.5379534363746643,0.5850754976272583,-0.6707508563995361,0.9917280673980713,0.10574036836624146,0.5495007634162903,-0.11731173098087311,0.8784613609313965
7,0.23333333333333334,0.44769567251205444,0.5858599543571472,-0.17445719242095947,0.9985712766647339,0.24269072711467743,0.580285370349884,0.17504264414310455,0.99715256690979,0.5698573589324951,0.21931837499141693,-0.5123697519302368,0.9999904036521912,0.18660874664783478,0.2341710478067398,-0.010894929990172386,0.999851405620575,0.6120491623878479,0.4161958396434784,-0.4722073972225189,0.9975118637084961,0.17501011490821838,0.41303765773773193,0.16636523604393005,0.7981897592544556,0.5386272668838501,0.5850403904914856,-0.6932021379470825,0.9916729927062988,0.10537904500961304,0.5452569127082825,-0.17176960408687592,0.8761931657791138
8,0.26666666666666666,0.447523295879364,0.5819905996322632,-0.1693328469991684,0.9985390901565552,0.2430054396390915,0.5760034918785095,0.1697475016117096,0.9971667528152466,0.5695301294326782,0.21855275332927704,-0.45313066244125366,0.9999905228614807,0.18594597280025482,0.23279698193073273,-0.0014934183564037085,0.9998571872711182,0.6143797636032104,0.41570746898651123,-0.43707919120788574,0.9975982308387756,0.17424951493740082,0.4076949656009674,0.17552001774311066,0.8042795658111572,0.5390727519989014,0.5819953680038452,-0.6416287422180176,0.9919871091842651,0.10603010654449463,0.5410834550857544,-0.13086144626140594,0.8783454298973083
9,0.3,0.44628477096557617,0.5795775651931763,-0.16315510869026184,0.9985135197639465,0.24224765598773956,0.5734017491340637,0.16349276900291443,0.9971643090248108,0.5695178508758545,0.21776439249515533,-0.4290468692779541,0.999990701675415,0.1859787404537201,0.23168711364269257,0.01818813942372799,0.9998621940612793,0.6160019636154175,0.4147758483886719,-0.41794562339782715,0.9976584315299988,0.1743822693824768,0.4047410786151886,0.18775726854801178,0.8045403957366943,0.5390717387199402,0.5795454382896423,-0.6154307126998901,0.9921815395355225,0.10617434978485107,0.5366044640541077,-0.09960108250379562,0.8776049613952637
10,0.3333333333333333,0.4461513161659241,0.5786150097846985,-0.15491557121276855,0.9984844326972961,0.24226847290992737,0.5722876191139221,0.15527108311653137,0.9971511363983154,0.5695211887359619,0.21732047200202942,-0.4215230941772461,0.9999908208847046,0.18607403337955475,0.2313232719898224,0.0193802360445261,0.9998658895492554,0.6194185018539429,0.41411224007606506,-0.4093700051307678,0.9976999163627625,0.175026074051857,0.40371543169021606,0.18952907621860504,0.8053873181343079,0.5372139811515808,0.5748571753501892,-0.6090840101242065,0.9923378825187683,0.10593494027853012,0.532893180847168,-0.10426159203052521,0.878274142742157
11,0.36666666666666664,0.4456087648868561,0.5764039158821106,-0.1556284874677658,0.9984986186027527,0.24236968159675598,0.5701284408569336,0.15593582391738892,0.9971945285797119,0.5692557096481323,0.21675878763198853,-0.4123561978340149,0.999991238117218,0.1862805187702179,0.22989501059055328,0.06288374960422516,0.9998716711997986,0.6212606430053711,0.4138181209564209,-0.41040903329849243,0.9977723956108093,0.17558741569519043,0.3997478783130646,0.2133454531431198,0.8058475852012634,0.5332494974136353,0.5706115365028381,-0.5882181525230408,0.9926197528839111,0.10552825033664703,0.523221492767334,-0.06877508014440536,0.8794122934341431
12,0.4,0.44505301117897034,0.5755003690719604,-0.16851381957530975,0.9984981417655945,0.24259798228740692,0.5686085820198059,0.16876690089702606,0.9971752762794495,0.5686625838279724,0.215762197971344,-0.45662862062454224,0.9999915957450867,0.18774667382240295,0.2285146415233612,0.12209862470626831,0.9998721480369568,0.6228089928627014,0.4123426377773285,-0.4739644527435303,0.9978411197662354,0.17822116613388062,0.3990491032600403,0.30662280321121216,0.7976366281509399,0.5257866382598877,0.5661060810089111,-0.6468065977096558,0.9929205179214478,0.10238902270793915,0.5217841863632202,-0.012612173333764076,0.877892792224884
13,0.43333333333333335,0.4434316158294678,0.5747199058532715,-0.19530485570430756,0.9985106587409973,0.24267403781414032,0.5678088068962097,0.1955472230911255,0.9971482753753662,0.5668824315071106,0.21422052383422852,-0.429582417011261,0.9999921321868896,0.18915584683418274,0.22762265801429749,0.24813246726989746,0.999873697757721,0.6233437657356262,0.4085165858268738,-0.46867504715919495,0.9979193210601807,0.18137679994106293,0.3982442319393158,0.4071791172027588,0.7932822704315186,0.518696665763855,0.5561551451683044,-0.6468597650527954,0.9932881593704224,0.09938729554414749,0.5174804329872131,0.0785306915640831,0.8788982033729553
14,0.4666666666666667,0.4430885314941406,0.5738617777824402,-0.20108430087566376,0.9985494613647461,0.24341928958892822,0.5668612122535706,0.20138958096504211,0.9971924424171448,0.5651392340660095,0.21313300728797913,-0.34304550290107727,0.9999926686286926,0.1902068704366684,0.22721318900585175,0.32487210631370544,0.9998774528503418,0.6237026453018188,0.4038921892642975,-0.42088040709495544,0.9979777932167053,0.18361470103263855,0.3973769545555115,0.46328848600387573,0.7928050756454468,0.5143998861312866,0.5390481352806091,-0.6258033514022827,0.9936389923095703,0.09489990770816803,0.5124879479408264,0.12657316029071808,0.8831122517585754
15,0.5,0.4441618025302887,0.57293701171875,-0.1981929987668991,0.9985582232475281,0.24488243460655212,0.5663882493972778,0.19851581752300262,0.9971327781677246,0.5645076036453247,0.21193815767765045,-0.323249489068985,0.9999930262565613,0.19339486956596375,0.227280855178833,0.3493298590183258,0.9998706579208374,0.6253790259361267,0.39852601289749146,-0.41519227623939514,0.9980006814002991,0.19045011699199677,0.39742276072502136,0.4675903916358948,0.7814716100692749,0.5106683969497681,0.5279108285903931,-0.6338899731636047,0.9939506649971008,0.0949932336807251,0.5038294196128845,0.08109387010335922,0.8833652138710022
16,0.5333333333333333,0.4446154534816742,0.5708605647087097,-0.20274114608764648,0.998532235622406,0.24850663542747498,0.5650657415390015,0.20330321788787842,0.9970014095306396,0.5641239881515503,0.21084323525428772,-0.33913537859916687,0.9999933838844299,0.1961742639541626,0.22599872946739197,0.31036192178726196,0.9998635649681091,0.6330946683883667,0.3949916958808899,-0.4397503733634949,0.9980812072753906,0.1982172429561615,0.39635953307151794,0.4412725567817688,0.7667705416679382,0.5084067583084106,0.5161190032958984,-0.6824937462806702,0.994308590888977,0.09510607272386551,0.4987797737121582,0.020578382536768913,0.8833540678024292
17,0.5666666666666667,0.44580450654029846,0.5668848752975464,-0.22003038227558136,0.9984488487243652,0.2538467347621918,0.5625595450401306,0.22066695988178253,0.9967272281646729,0.5636051297187805,0.20898492634296417,-0.35627448558807373,0.999993622303009,0.20315437018871307,0.22542177140712738,0.347220778465271,0.9998460412025452,0.6359165906906128,0.3915034830570221,-0.4614947736263275,0.9981344938278198,0.20137877762317657,0.3966304361820221,0.4692899286746979,0.7469090223312378,0.502124011516571,0.5053704380989075,-0.6937108039855957,0.99461829662323,0.09020256251096725,0.49129652976989746,0.01733097806572914,0.8808776140213013
