frame,time_sec,lm23_x,lm23_y,lm23_z,lm23_vis,lm24_x,lm24_y,lm24_z,lm24_vis,lm11_x,lm11_y,lm11_z,lm11_vis,lm12_x,lm12_y,lm12_z,lm12_vis,lm13_x,lm13_y,lm13_z,lm13_vis,lm14_x,lm14_y,lm14_z,lm14_vis,lm15_x,lm15_y,lm15_z,lm15_vis,lm16_x,lm16_y,lm16_z,lm16_vis
0,0.0,0.5712144374847412,0.3815925419330597,-0.019431056454777718,0.9985721111297607,0.4215525984764099,0.3794807195663452,0.018923621624708176,0.9988565444946289,0.617229700088501,0.17298676073551178,-0.24892497062683105,0.9996511936187744,0.360267698764801,0.18237517774105072,-0.2381490170955658,0.9996956586837769,0.6649284362792969,0.27164751291275024,-0.08951263874769211,0.9024876952171326,0.3282754421234131,0.28706228733062744,-0.01997029408812523,0.8769737482070923,0.6652568578720093,0.36826831102371216,-0.13040123879909515,0.6469532251358032,0.298495888710022,0.38130244612693787,0.03511554002761841,0.7002974152565002
1,0.03333333333333333,0.566939115524292,0.38074594736099243,0.024262307211756706,0.9986538887023926,0.4176183342933655,0.37760278582572937,-0.025109952315688133,0.9989004731178284,0.6165571808815002,0.1729920357465744,-0.1843627244234085,0.9996630549430847,0.3585416078567505,0.18234387040138245,-0.24271440505981445,0.9996976256370544,0.6634529829025269,0.2705627679824829,-0.03980877622961998,0.9043111205101013,0.3282338082790375,0.2870194613933563,-0.09829174727201462,0.8859882354736328,0.6647320985794067,0.36510169506073,-0.0688081830739975,0.6609846353530884,0.29441362619400024,0.3809783458709717,-0.07401271164417267,0.7126930952072144
2,0.06666666666666667,0.565196692943573,0.3802809417247772,0.029962385073304176,0.9986805319786072,0.4151234030723572,0.3763918876647949,-0.030517403036355972,0.9988887310028076,0.6162979006767273,0.17165595293045044,-0.19149835407733917,0.9996740221977234,0.35647332668304443,0.180939182639122,-0.24259014427661896,0.9996889233589172,0.6618536710739136,0.2696128487586975,-0.05111270397901535,0.9077709317207336,0.3268265128135681,0.2868863642215729,-0.08586142957210541,0.8913190364837646,0.6625932455062866,0.36398082971572876,-0.11048247665166855,0.6773150563240051,0.2896808087825775,0.38055628538131714,-0.08270137012004852,0.7160224914550781
3,0.1,0.5651373863220215,0.3801792562007904,0.024751121178269386,0.9987201690673828,0.41442424058914185,0.37644079327583313,-0.025344884023070335,0.9988898038864136,0.6164120435714722,0.17132285237312317,-0.17540958523750305,0.9996874928474426,0.3551488518714905,0.18055300414562225,-0.21822312474250793,0.9996901750564575,0.6616804599761963,0.26959118247032166,-0.054806776344776154,0.9107793569564819,0.3223373293876648,0.28686845302581787,-0.08495349436998367,0.8972299098968506,0.6625298261642456,0.36265721917152405,-0.1130230650305748,0.6903069019317627,0.28548458218574524,0.38050058484077454,-0.09311892092227936,0.7202956676483154
4,0.13333333333333333,0.5634416341781616,0.37952664494514465,0.01941138505935669,0.9987162947654724,0.41167593002319336,0.3766738772392273,-0.020007915794849396,0.998847246170044,0.6164026260375977,0.17078833281993866,-0.1715448647737503,0.9996892809867859,0.35381272435188293,0.17815375328063965,-0.20993776619434357,0.9996802806854248,0.6605862975120544,0.2696031928062439,-0.036301471292972565,0.9109479784965515,0.318301796913147,0.28496673703193665,-0.08227719366550446,0.8997823596000671,0.6609349846839905,0.3628408908843994,-0.10270686447620392,0.6972734928131104,0.28520673513412476,0.3804158866405487,-0.11425711959600449,0.7208405137062073
5,0.16666666666666666,0.5605483055114746,0.3794924318790436,0.028450876474380493,0.9987457990646362,0.41023769974708557,0.37666070461273193,-0.028978172689676285,0.9988431334495544,0.613267183303833,0.16965775191783905,-0.13989025354385376,0.9996842741966248,0.35313671827316284,0.17295347154140472,-0.21376924216747284,0.9996781349182129,0.6569069027900696,0.26961013674736023,0.005645173601806164,0.9107446670532227,0.3155760169029236,0.2833859920501709,-0.10347269475460052,0.9051175117492676,0.6610195636749268,0.3631560802459717,-0.07749845087528229,0.7065864205360413,0.28481578826904297,0.37990590929985046,-0.14390793442726135,0.7327015399932861
6,0.2,0.5556661486625671,0.37939178943634033,0.03007742390036583,0.9987913370132446,0.4034446179866791,0.37654510140419006,-0.030659928917884827,0.998843789100647,0.6104657649993896,0.16968753933906555,-0.12435813993215561,0.9996603727340698,0.3514133393764496,0.1704730987548828,-0.20346248149871826,0.9996534585952759,0.6520319581031799,0.27229005098342896,0.024834083393216133,0.9069644212722778,0.30861976742744446,0.28158289194107056,-0.09268832951784134,0.908045768737793,0.6576154828071594,0.36370477080345154,-0.006395593285560608,0.6980781555175781,0.2814382314682007,0.3787047863006592,-0.10640521347522736,0.7301278710365295
7,0.23333333333333334,0.551783561706543,0.3782508671283722,0.03212039917707443,0.9988347291946411,0.3976227641105652,0.37530553340911865,-0.032656680792570114,0.9988476037979126,0.6068813800811768,0.1697567105293274,-0.1359604448080063,0.9996618628501892,0.3488141894340515,0.16803765296936035,-0.21451535820960999,0.9996429681777954,0.6449495553970337,0.2725799083709717,0.033074814826250076,0.9060234427452087,0.30145424604415894,0.2799111008644104,-0.10485631227493286,0.9102447032928467,0.6543060541152954,0.3636018633842468,0.007932940497994423,0.7008131146430969,0.2768765389919281,0.37534090876579285,-0.12326560914516449,0.7253808379173279
8,0.26666666666666666,0.5467821359634399,0.3756721317768097,0.03013741411268711,0.9988313317298889,0.3932075500488281,0.37196844816207886,-0.030769744887948036,0.9988153576850891,0.6026831865310669,0.1698521077632904,-0.14540354907512665,0.9996579885482788,0.3488430082798004,0.16749846935272217,-0.20436522364616394,0.9996116757392883,0.639615535736084,0.27260446548461914,0.013692216947674751,0.9019365906715393,0.29543593525886536,0.27371931076049805,-0.07066816091537476,0.9071590900421143,0.6534708738327026,0.36189189553260803,-0.02366136759519577,0.6947616338729858,0.2666833996772766,0.36203843355178833,-0.0657537579536438,0.7063706517219543
9,0.3,0.547049880027771,0.3751673996448517,0.02877996303141117,0.9988473057746887,0.3942141532897949,0.37209275364875793,-0.02941770851612091,0.9988298416137695,0.6004903316497803,0.17046138644218445,-0.13676632940769196,0.9996667504310608,0.34882864356040955,0.16797015070915222,-0.1702410727739334,0.9996115565299988,0.6382349729537964,0.2736978530883789,0.03148936480283737,0.9009488224983215,0.29328665137290955,0.27386975288391113,0.0006303304107859731,0.9072878360748291,0.6530151963233948,0.3618205189704895,-0.018397770822048187,0.7001627683639526,0.26552054286003113,0.36082202196121216,0.015252219513058662,0.7033134698867798
