frame,time_sec,lm23_x,lm23_y,lm23_z,lm23_vis,lm24_x,lm24_y,lm24_z,lm24_vis,lm11_x,lm11_y,lm11_z,lm11_vis,lm12_x,lm12_y,lm12_z,lm12_vis,lm13_x,lm13_y,lm13_z,lm13_vis,lm14_x,lm14_y,lm14_z,lm14_vis,lm15_x,lm15_y,lm15_z,lm15_vis,lm16_x,lm16_y,lm16_z,lm16_vis
0,0.0,0.5754812955856323,0.6510272026062012,-0.1709425151348114,0.9932512640953064,0.4133792519569397,0.647765040397644,0.17151911556720734,0.9920874238014221,0.6346603035926819,0.3092763423919678,-0.6252234578132629,0.9992961883544922,0.3091651499271393,0.3452927768230438,0.09718800336122513,0.9975511431694031,0.7113037705421448,0.4879973232746124,-0.5794415473937988,0.9378600120544434,0.32257726788520813,0.5085943937301636,0.3130752146244049,0.2717621326446533,0.7381476163864136,0.6752351522445679,-0.4641660153865814,0.592618465423584,0.2918308973312378,0.6406226754188538,0.1605294644832611,0.26288288831710815
1,0.03333333333333333,0.5879677534103394,0.6509538292884827,-0.18269465863704681,0.9935500621795654,0.4206576347351074,0.6526893377304077,0.18358853459358215,0.9922438859939575,0.6298779249191284,0.30851519107818604,-0.6414505243301392,0.9993494749069214,0.3103766143321991,0.3463659882545471,0.10376952588558197,0.9974508285522461,0.7187824249267578,0.4867796003818512,-0.6350094676017761,0.9427495002746582,0.3243483603000641,0.5112612843513489,0.40042057633399963,0.26002198457717896,0.7594977617263794,0.672603964805603,-0.6222220063209534,0.6254771947860718,0.3031362295150757,0.6353799700737,0.24155275523662567,0.2561986744403839
2,0.06666666666666667,0.5923413038253784,0.6501806378364563,-0.18278402090072632,0.9934484362602234,0.4238259196281433,0.6542879939079285,0.18358759582042694,0.9917301535606384,0.626822829246521,0.3071782886981964,-0.6072701215744019,0.9993856549263,0.3103716969490051,0.34670087695121765,0.15042054653167725,0.9972565174102783,0.7209374904632568,0.48184847831726074,-0.5857813358306885,0.945197343826294,0.3284549117088318,0.511268138885498,0.4706607758998871,0.24546635150909424,0.7630947232246399,0.6608814597129822,-0.4978022575378418,0.641633927822113,0.3220205008983612,0.6318228840827942,0.39317482709884644,0.244858056306839
3,0.1,0.592957615852356,0.6497429013252258,-0.18324175477027893,0.9937229156494141,0.423684298992157,0.6549754738807678,0.18407359719276428,0.9915944337844849,0.6172856092453003,0.3048906624317169,-0.6085993051528931,0.9994363784790039,0.3101476728916168,0.3461013734340668,0.15561696887016296,0.9969505667686462,0.7206834554672241,0.47454726696014404,-0.5941442251205444,0.9493077993392944,0.33420827984809875,0.5109760165214539,0.5286873579025269,0.2289961874485016,0.7674623727798462,0.656190812587738,-0.5111461281776428,0.6698604822158813,0.3316623568534851,0.6294419169425964,0.5070353150367737,0.23169222474098206
4,0.13333333333333333,0.5825015306472778,0.6547189950942993,-0.2060534507036209,0.9939587712287903,0.41321220993995667,0.659109354019165,0.20666086673736572,0.9915857911109924,0.6084344983100891,0.3047936260700226,-0.5928438305854797,0.9994817972183228,0.309842586517334,0.34602081775665283,0.24200141429901123,0.9969121813774109,0.7205215692520142,0.4749460816383362,-0.5768576860427856,0.9530145525932312,0.33970528841018677,0.5136124491691589,0.5690872073173523,0.2163611501455307,0.7668328881263733,0.6563701629638672,-0.4758516252040863,0.6928341388702393,0.3285433351993561,0.6313432455062866,0.488023579120636,0.22472524642944336
5,0.16666666666666666,0.5682886838912964,0.6549177169799805,-0.20493797957897186,0.9941591024398804,0.4075497090816498,0.6586516499519348,0.20554108917713165,0.9915948510169983,0.6026421189308167,0.30422767996788025,-0.5735065937042236,0.9995245933532715,0.3142743706703186,0.34384775161743164,0.25781887769699097,0.9969625473022461,0.7168183326721191,0.47585174441337585,-0.5686056613922119,0.9565680623054504,0.3463454842567444,0.5134820938110352,0.5827666521072388,0.2038089483976364,0.7663727402687073,0.6575460433959961,-0.4664444327354431,0.7166635990142822,0.33306989073753357,0.6312771439552307,0.5521953105926514,0.21907305717468262
6,0.2,0.5645951628684998,0.6547993421554565,-0.20464472472667694,0.994234561920166,0.4050448536872864,0.6583297252655029,0.2052910327911377,0.9914111495018005,0.5987284779548645,0.30410072207450867,-0.5795140266418457,0.999561071395874,0.3155499994754791,0.34324538707733154,0.24487796425819397,0.9969755411148071,0.7161269187927246,0.47648119926452637,-0.5691362023353577,0.9598269462585449,0.3481789231300354,0.5137672424316406,0.5624123215675354,0.19171467423439026,0.7601678371429443,0.6590247750282288,-0.44196653366088867,0.7372690439224243,0.3322114050388336,0.6314149498939514,0.5032681226730347,0.21149148046970367
7,0.23333333333333334,0.5614520907402039,0.6570297479629517,-0.21147628128528595,0.9942284822463989,0.40458589792251587,0.6601265668869019,0.21216349303722382,0.9910460114479065,0.5983936190605164,0.30480048060417175,-0.6272884011268616,0.9995936155319214,0.3213251531124115,0.3427959680557251,0.22634772956371307,0.9969322681427002,0.715222954750061,0.4825167655944824,-0.6068225502967834,0.9626447558403015,0.3546147346496582,0.5138676166534424,0.5626700520515442,0.1790677309036255,0.739822506904602,0.6667038202285767,-0.44750159978866577,0.7548500299453735,0.33589065074920654,0.6320025324821472,0.5295647382736206,0.20159591734409332
8,0.26666666666666666,0.5483123064041138,0.6682895421981812,-0.23086431622505188,0.9937117099761963,0.40800976753234863,0.6646124720573425,0.23148925602436066,0.9895520210266113,0.5975385308265686,0.3069556951522827,-0.6851681470870972,0.999620795249939,0.33992868661880493,0.34178170561790466,0.21840348839759827,0.996830940246582,0.7143057584762573,0.4965384900569916,-0.659929633140564,0.9656609296798706,0.3734830319881439,0.5138421654701233,0.5528794527053833,0.1681670993566513,0.7091004848480225,0.6769312620162964,-0.46388545632362366,0.7731621861457825,0.3493378758430481,0.6333369016647339,0.4246301054954529,0.1922793686389923
9,0.3,0.5459161996841431,0.6689342260360718,-0.23176220059394836,0.9939374327659607,0.4080759584903717,0.6656920313835144,0.23235508799552917,0.9896988868713379,0.5980688333511353,0.3076022267341614,-0.6682338118553162,0.9996521472930908,0.3501410484313965,0.34006229043006897,0.2719076871871948,0.9968647360801697,0.7142854332923889,0.49635055661201477,-0.6596515774726868,0.9685192108154297,0.3806227445602417,0.5136618614196777,0.5363526940345764,0.15929493308067322,0.690360426902771,0.6784183382987976,-0.4785000681877136,0.79262375831604,0.3475523889064789,0.6334006786346436,0.4176008701324463,0.18915477395057678
